Ecotype,Recording,Maximum.Frequency..kHz.,Minimum.Frequency..kHz.,Fundamental.frequency.Start..kHz.,Fundamental.frequency.End..kHz.,Delta.Frequency..kHz.,Peak.Frequency..kHz.,Duration..s.
Coastal,12-15ZOOM0100sel.2-43,21.73187071,3.312499831,4.185133682,21.73187071,18.41937088,5.641699219,0.821
Coastal,ZOOM0139sel.16,13.61413875,6.276757491,10.88805209,7.607375777,7.337381259,11.80019531,0.605
Coastal,Cc 000_0057sel.12,17.21559658,6.131065964,8.383214161,17.21559658,11.08453062,7.734375,0.957
Coastal,2018_0143sel.05_1,13.8296082,5.466575017,5.466575017,6.804990336,8.363033183,6.1875,0.693
Coastal,PR_19042017_58sel.02,8.365719377,6.303621174,6.365440917,8.365719377,2.062098203,6.933691406,0.205
Coastal,12-15ZOOM0100sel.22-1,20.73893348,6.052546617,6.084079592,20.73893348,14.68638686,7.450488281,0.553
Coastal,2018_0207sel.09,21.35627943,5.57515692,6.570404269,21.35627943,15.78112251,7.078125,0.508
Coastal,Cc 000_0012sel.06,15.62283983,5.135515035,13.23449647,15.62283983,10.4873248,5.340234375,0.569
Coastal,2018_0128sel.01_1,13.26457278,6.067458804,6.195339938,9.50080468,7.197113976,9.84375,0.743
Coastal,DR0000_0366.wavsel.53,19.57762513,8.528818076,9.764169689,19.57762513,11.04880705,10.21875,0.472
Coastal,Cc 000_0017sel.20,20.28790273,8.675899819,8.754659053,20.28790273,11.61200291,10.80966797,0.514
Coastal,Cc 000_0057sel.04,15.37643307,5.31222198,5.415874187,15.37643307,10.06421109,7.265625,0.551
Coastal,PR_21042017_77sel.04-02,12.24053321,11.10239,11.10239,12.24053321,1.13814321,11.11113281,0.071
Coastal,DR0000_0366.wavsel.50,17.57844206,4.391401154,4.391401154,17.57844206,13.18704091,7.125,0.378
Coastal,ZOOM0314sel.17,17.05711007,9.405110909,9.405110909,17.05711007,7.651999161,12.27392578,0.305
Coastal,3-10ZOOM310sel.31,11.4093495,9.813305395,9.813305395,11.2913897,1.596044105,11.06806641,0.15
Coastal,DR0000_0366.wavsel.30,9.70104892,9.018091299,9.208161604,9.208161604,0.682957621,9.5625,0.083
