Ecotype,Recording,Maximum Frequency (kHz),Minimum Frequency (kHz),Fundamental frequency Start (kHz),Fundamental frequency End (kHz),Delta Frequency (kHz),Peak Frequency (kHz),Duration (s)
Oceanic,piceas-050827-095200sel.02_1,18.05483232,13.38647457,18.05483232,16.56206357,4.668357755,13.81835938,0.688
Oceanic,Acst1624-b07sel.04_1,17.54286233,7.274690667,10.57361721,17.54286233,10.26817167,13.81835938,0.613
Oceanic,ACST1735sel.02-3_1,18.97143515,6.747377072,13.85576746,9.494486961,12.22405808,13.84277344,0.997
Oceanic,HICEAS020823-132803sel.08_1,16.77801418,9.659079952,9.659079952,16.77801418,7.118934229,13.84277344,0.731
Oceanic,piceas-050827-085000sel.01_1,20.72811831,12.13919823,20.72811831,16.75373527,8.588920084,13.8671875,1.334
Oceanic,PICEAS-050811-190000sel.07_1,13.89664869,13.59047945,13.66638349,13.59047945,0.306169239,13.875,0.245
Oceanic,HICEAS021119-142333sel.01_1,21.16254393,9.323097398,9.323097398,21.16254393,11.83944653,13.87939453,1.007
Oceanic,HICEAS020827-071115sel.01_1,20.137932,9.792223884,9.792223884,12.13468905,10.34570811,13.95263672,0.73
Oceanic,HICEAS021119-144218sel.03_1,17.47830931,13.91901191,17.24113926,17.47830931,3.559297399,13.95263672,0.851
Oceanic,ACST1335-810sel.04_1,17.96248185,8.827269335,8.827269335,17.88086491,9.135212514,13.98925781,0.908
Oceanic,piceas-050827-152600sel.25-2_1,15.10556014,13.69810909,15.10556014,13.77714475,1.407451052,14.01367188,0.577
Oceanic,HICEAS020823-133103 sel.06-1_1,16.93184456,8.461783007,9.270412104,8.461783007,8.47006155,14.02587891,1.453
Oceanic,piceas-050827-152600sel.06_1,17.14375897,13.77714475,17.14375897,14.0169984,3.36661422,14.0625,1.731
Oceanic,piceas-050827-152600sel.26_1,15.36854088,13.08192979,13.30968007,15.36854088,2.286611091,14.0625,1.261
Oceanic,PICEAS-050811-183000sel.08_1,14.28907791,12.99822881,12.99822881,13.43993375,1.290849101,14.109375,0.543
Oceanic,HICEAS021119-142333sel.09-4_1,21.35617707,7.77047218,7.77047218,12.19696052,13.58570489,14.13574219,1.162
Oceanic,Acst1649-b07sel.02_2,16.65762374,10.45264937,10.69598501,10.45264937,6.204974371,14.16015625,0.353
Oceanic,ACST1740sel.01_1,20.49854948,8.867561275,10.11954501,20.49854948,11.6309882,14.17236328,0.819
Oceanic,HICEAS020827-071115sel.02_1,19.68364758,10.87587141,11.54059541,19.68364758,8.807776171,14.17236328,0.681
Oceanic,ACST1720sel.08-1_1,14.70084335,12.53483264,12.82353145,14.56755308,2.166010708,14.17236328,0.538
Oceanic,piceas-050827-095800sel.03_1,21.21066487,11.93147679,14.93274444,12.350536,9.279188075,14.20898438,1.535
Oceanic,PICEAS-050807-113000sel.21_1,19.737678,11.12133889,11.8900307,19.737678,8.616339103,14.25,1.136
Oceanic,PICEAS-050807-093000sel.01_1,19.08899697,12.15789187,19.08899697,12.15789187,6.931105102,14.25,0.289
Oceanic,Acst1636-b07sel.09_1,18.90524308,8.068435763,8.546245295,18.90524308,10.83680732,14.30664063,0.586
Oceanic,Acst1003-b29sel.01_1,17.84827537,10.09798631,10.09798631,17.84827537,7.750289064,14.30664063,0.779
Oceanic,piceas-050827-095600sel.01_1,20.9680035,12.7109734,14.26102779,12.7109734,8.257030104,14.35546875,1.213
Oceanic,PICEAS-050807-113000sel.28_1,15.44783974,11.95643759,13.74271147,11.95643759,3.491402158,14.390625,0.566
Oceanic,HICEAS020823-133103 sel.06-2_1,21.36874525,10.11007411,11.17777108,10.67914868,11.25867114,14.46533203,1.667
Oceanic,HICEAS021119-142533sel.01_1,21.35617707,10.83498441,10.83498441,19.05802999,10.52119267,14.46533203,1.173
Oceanic,piceas-050827-095400sel.02_1,21.95562917,13.46371215,16.09242313,13.46371215,8.491917022,14.50195313,1.002
Oceanic,piceas-050827-082324sel.05_1,18.36915851,11.66003349,11.66003349,13.46371215,6.709125026,14.50195313,0.922
Oceanic,HICEAS021119-142433sel.06_1,17.88086491,10.21213687,10.21213687,16.77641026,7.668728035,14.53857422,0.938
Oceanic,ACST1720sel.08-4_1,19.67536275,12.47787755,13.29934351,12.53483264,7.197485193,14.57519531,0.713
Oceanic,piceas-050827-100600sel.01_1,21.21066487,13.61952683,18.36915851,14.50930562,7.591138038,14.6484375,0.744
Oceanic,piceas-050827-152600sel.13_1,20.14034357,13.77714475,20.024804,13.77714475,6.363198824,14.6484375,0.675
Oceanic,ACST1735sel.03-2_1,15.74017491,5.373335611,5.373335611,13.85576746,10.3668393,14.6484375,0.793
Oceanic,Acst1636-b07sel.07_1,19.34535346,10.04005696,10.04005696,19.34535346,9.305296502,14.69726563,0.519
Oceanic,ACST1722sel.03-1_1,14.76794513,7.191582469,7.191582469,9.891721605,7.576362661,14.75830078,0.978
Oceanic,piceas-050827-152600sel.27_1,21.08898516,11.32939695,21.08898516,11.32939695,9.759588212,14.79492188,1.066
Oceanic,piceas-050827-090200sel.05_1,16.09242313,11.13553254,11.13553254,14.50930562,4.956890589,14.79492188,0.486
Oceanic,PICEAS-050807-113000sel.19_1,19.84791469,11.43539579,11.43539579,16.06199665,8.412518907,14.8125,1.167
Oceanic,HICEAS020823-133403sel.06_1,16.6255814,7.312105249,7.345549534,8.539365446,9.313476147,14.83154297,1.022
Oceanic,Acst1636-b07sel.04_1,20.14034357,8.022149384,8.695031431,20.14034357,12.11819419,14.84375,1.014
Oceanic,HICEAS020823-132803sel.16-1_1,19.06481415,8.776406829,17.48144296,8.776406829,10.28840733,14.86816406,1.15
Oceanic,piceas-050827-085400sel.01_1,16.27865971,14.26102779,16.27865971,14.76190584,2.017631924,14.89257813,0.541
Oceanic,ACST1335-810sel.02_1,16.17619881,14.50136183,14.50136183,16.17619881,1.674836977,14.90478516,1.338
Oceanic,HICEAS020823-133303sel.07_1,14.96904561,8.195753341,10.63052652,8.233239278,6.773292268,14.90478516,1.013
Oceanic,ACST1720sel.02_1,20.97066642,8.787160471,8.787160471,20.97066642,12.18350595,14.94140625,0.572
Oceanic,piceas-050827-152600sel.25-3_1,20.37342648,10.39268541,20.14034357,10.39268541,9.980741066,14.94140625,1.309
Oceanic,PICEAS-050811-190000sel.05_1,21.45746614,12.43178746,12.43178746,21.21977554,9.025678678,14.953125,0.465
Oceanic,ACST1735sel.04-3_1,16.17619881,7.093997061,8.022175373,7.126377505,9.082201745,14.97802734,1.7
Oceanic,piceas-050827-085600sel.05_1,15.28037582,13.85663643,15.10556014,13.85663643,1.423739393,14.99023438,0.278
Oceanic,Acst1622-b07sel.05_1,20.9680035,7.232957784,7.232957784,20.9680035,13.73504572,15.0390625,0.812
Oceanic,ACST1337-810sel.03_1,15.3858131,7.77047218,9.323097398,13.05927064,7.615340924,15.05126953,4.194
Oceanic,HICEAS020823-133603sel.03_1,20.137932,10.11007411,14.432423,19.95497345,10.02785788,15.16113281,1.662
Oceanic,HICEAS021119-144118sel.01_1,20.59211481,13.73013937,17.63823243,20.59211481,6.86197544,15.19775391,0.972
